"product_id","product_name","product_description","price","brand","registration_date","category_name","sub_category","category_description"
"GNZuCtwed3","Amazing heater","This Innovative is one of a kind. It offers unparalleled performance and convenience.",326.83,"SonicPlus",2022-07-16,"Electronics","heater","Electronics item"
"CAgNlUizNm","Portable heater","This Innovative is one of a kind. It offers unparalleled performance and convenience.",282.43,"EcoDrive",2023-12-24,"Electronics","heater","Electronics item"
"vDe7GN0NrL","Eco-friendly Refridgerator","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",803.88,"NextGen",2023-10-20,"Electronics","Refridgerator","Electronics item"
"TbUBpfn6iP","Innovative microwave","This Wireless is one of a kind. It offers unparalleled performance and convenience.",112.98,"TechGuru",2022-08-14,"Electronics","microwave","Electronics item"
"oemYWm1Tjg","Essential Refridgerator","This Wireless is one of a kind. It offers unparalleled performance and convenience.",839.74,"UltraGear",2023-01-04,"Electronics","Refridgerator","Electronics item"
"TrRF46JWfP","Compact DVD","This Smart is one of a kind. It offers unparalleled performance and convenience.",88.47,"Elevate",2022-12-07,"Electronics","DVD","Electronics item"
"uISKeFTl5s","Durable DVD","This Smart is one of a kind. It offers unparalleled performance and convenience.",720.39,"EcoDrive",2024-01-13,"Electronics","DVD","Electronics item"
"LqLKTtrOmx","Wireless microwave","This Compact is one of a kind. It offers unparalleled performance and convenience.",865.97,"UltraGear",2022-03-31,"Electronics","microwave","Electronics item"
"QiOKkCi7F8","High-quality Refridgerator","This Smart is one of a kind. It offers unparalleled performance and convenience.",978.77,"NextGen",2023-07-05,"Electronics","Refridgerator","Electronics item"
"E3dsmnSPob","Smart Mobile phone","This Smart is one of a kind. It offers unparalleled performance and convenience.",256.63,"Elevate",2023-09-08,"Electronics","Mobile phone","Electronics item"
"eLGzdD8Tvb","Amazing tops","This Durable is one of a kind. It offers unparalleled performance and convenience.",34.61,"FutureVision",2023-04-03,"Clothing","tops","clothing item"
"yjMQ90i6Rd","Portable socks","This Portable is one of a kind. It offers unparalleled performance and convenience.",230.75,"SonicPlus",2023-04-14,"Clothing","socks","clothing item"
"zUUAkSVCEa","Eco-friendly socks","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",130.81,"EcoDrive",2023-09-27,"Clothing","socks","clothing item"
"Z42dvbYWzV","Innovative shirts","This Wireless is one of a kind. It offers unparalleled performance and convenience.",391.39,"EcoDrive",2022-09-26,"Clothing","shirts","clothing item"
"gbEGjSAk6r","Essential ties","This Portable is one of a kind. It offers unparalleled performance and convenience.",93.49,"UltraGear",2023-07-29,"Clothing","ties","clothing item"
"cYKSVBW4HD","Compact sarees","This Durable is one of a kind. It offers unparalleled performance and convenience.",289.76,"TechGuru",2022-09-06,"Clothing","sarees","clothing item"
"HtRmsP3KiK","Durable womens wear","This Essential is one of a kind. It offers unparalleled performance and convenience.",570.92,"PrimeTech",2022-03-12,"Clothing","womens wear","clothing item"
"dqrONtdjbt","Wireless sarees","This Durable is one of a kind. It offers unparalleled performance and convenience.",335.26,"EcoTech",2022-04-11,"Clothing","sarees","clothing item"
"IBsVsBliwX","High-quality sarees","This Smart is one of a kind. It offers unparalleled performance and convenience.",944.04,"EcoDrive",2023-08-16,"Clothing","sarees","clothing item"
"iO6vHa6qJm","Smart shirts","This Smart is one of a kind. It offers unparalleled performance and convenience.",383.53,"TechGuru",2023-06-04,"Clothing","shirts","clothing item"
"GDWGBWY8Fi","Amazing carpets","This Essential is one of a kind. It offers unparalleled performance and convenience.",953.78,"TechGuru",2023-07-04,"Home & Garden","carpets","home items"
"x6lwoJexxL","Portable flowers","This Compact is one of a kind. It offers unparalleled performance and convenience.",280.52,"FutureVision",2022-05-01,"Home & Garden","flowers","home items"
"GAJVvVF2Pq","Eco-friendly flowers","This Amazing is one of a kind. It offers unparalleled performance and convenience.",690.46,"PrimeTech",2023-11-03,"Home & Garden","flowers","home items"
"L8NdOggYQS","Innovative bins","This Amazing is one of a kind. It offers unparalleled performance and convenience.",145.62,"EcoDrive",2023-03-30,"Home & Garden","bins","home items"
"IZu8PDQ8Sw","Essential air freshners","This Compact is one of a kind. It offers unparalleled performance and convenience.",812.11,"NextGen",2022-12-09,"Home & Garden","air freshners","home items"
"lvTbU6FUNv","Compact pots","This Compact is one of a kind. It offers unparalleled performance and convenience.",764.98,"InnoVate",2022-09-24,"Home & Garden","pots","home items"
"WJHmhA3kcA","Durable instant heater","This Smart is one of a kind. It offers unparalleled performance and convenience.",447.98,"FutureVision",2023-10-12,"Home & Garden","instant heater","home items"
"36NAIBFBTl","Wireless pots","This Compact is one of a kind. It offers unparalleled performance and convenience.",462.11,"NextGen",2022-01-14,"Home & Garden","pots","home items"
"1WsN28J98D","High-quality flowers","This High-quality is one of a kind. It offers unparalleled performance and convenience.",683.65,"FutureVision",2023-11-14,"Home & Garden","flowers","home items"
"E8yKVg673v","Smart mops","This Amazing is one of a kind. It offers unparalleled performance and convenience.",83.65,"FutureVision",2023-02-15,"Home & Garden","mops","home items"
"f5USNzAo4O","Amazing tables","This Wireless is one of a kind. It offers unparalleled performance and convenience.",650.16,"FutureVision",2023-09-09,"Furniture","tables","Furniture items"
"8BqiGU5Lyc","Portable beds","This Compact is one of a kind. It offers unparalleled performance and convenience.",792.01,"Elevate",2022-01-01,"Furniture","beds","Furniture items"
"fJPzrxomGl","Eco-friendly desks","This Amazing is one of a kind. It offers unparalleled performance and convenience.",231.08,"NextGen",2023-08-03,"Furniture","desks","Furniture items"
